name_hc,mb_2008,mb_2009,parent_key,key,setofmb_hc,id,idext,region,zone,woreda,wname,
Hasenge Health Center,110,94,uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d/r1[1],uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d/r1[1]/mb_HC[1],uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d/r1[1]/mb_HC,uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d,r1[1],Harari,Harer,270,Dire Teyara,
Fechena Hc,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[3],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
Abey Take,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[1],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
DaelaHc,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
Taratu hc,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[4],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
Tekea  Health  Center,13,14,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[3],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Bora  Health  Center,37,84,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[2],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Selawa  Health  Center,63,59,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[4],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Betmera   Health  Center,12,18,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Chuko,1,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC[2],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
